x_valueCar,y_valueCar,x_valueObject,y_valueObject
111.26,36.31,111.26,42.489999999999995
111.23,36.739999999999995,111.23,43.019999999999996
111.38,36.33,111.38,42.47
111.23,37.18,111.23,42.57
111.13,37.29,111.13,42.489999999999995
111.23,37.2,111.23,42.47
111.23,36.36,111.23,43.019999999999996
111.11,36.379999999999995,111.11,42.47
111.28,36.36,111.28,42.489999999999995
111.16,36.91,111.16,42.91
111.13,36.36,111.13,42.91
111.23,35.95,111.23,42.59
111.13,35.61,111.13,42.489999999999995
111.28,35.54,111.28,42.489999999999995
111.23,35.64,111.23,42.59
111.13,35.55,111.13,42.9
111.23,35.54,111.23,43.0
111.13,36.07,111.13,42.019999999999996
111.23,35.97,111.23,42.47
111.25,35.66,111.25,43.0
111.13,35.54,111.13,42.489999999999995
111.28,35.55,111.28,42.489999999999995
111.13,36.07,111.13,42.47
111.53999999999999,35.97,111.53999999999999,42.9
111.23,35.11,111.23,43.019999999999996
111.13,35.55,111.13,42.489999999999995
111.25,35.129999999999995,111.25,42.9
111.13,35.64,111.13,42.91
111.18,34.68,111.18,42.91
111.25,35.129999999999995,111.25,43.45
111.13,35.66,111.13,43.33
111.23,35.129999999999995,111.23,42.9
111.23,35.230000000000004,111.23,42.59
111.14,35.54,111.14,42.91
111.25,35.55,111.25,43.019999999999996
111.18,35.66,111.18,42.9
111.28,35.54,111.28,42.489999999999995
111.53999999999999,36.09,111.53999999999999,42.59
111.43,35.54,111.43,42.47
111.28,35.129999999999995,111.28,42.59
111.18,35.25,111.18,42.489999999999995
111.28,34.68,111.28,42.489999999999995
111.25,34.769999999999996,111.25,44.3
111.43,35.19,111.43,42.91
111.55,35.54,111.55,42.91
111.18,34.78,111.18,42.93
111.23,35.55,111.23,42.93
111.28,35.55,111.28,44.730000000000004
111.18,35.19,111.18,44.2
111.45,35.55,111.45,123.16
111.25,34.68,111.25,43.019999999999996
110.99,35.370000000000005,110.99,42.9
110.99,34.94,110.99,43.03
111.25,34.68,111.25,42.57
111.43,35.66,111.43,42.47
111.28,34.68,111.28,42.9
111.45,35.66,111.45,43.43
111.18,35.55,111.18,42.9
111.55,35.97,111.55,43.86
111.53999999999999,35.379999999999995,111.53999999999999,44.29
111.45,35.79,111.45,43.739999999999995
111.28,34.7,111.28,43.86
111.14,34.769999999999996,111.14,43.33
111.3,35.09,111.3,42.91
111.3,35.67,111.3,43.43
111.14,35.54,111.14,42.9
111.28,35.54,111.28,43.43
111.18,35.19,111.18,42.9
111.3,35.129999999999995,111.3,42.9
111.25,35.64,111.25,43.019999999999996
111.18,35.54,111.18,42.9
